Date,Sample ID,Treatment,Chamber Volume (L),Sponge Volume (L),Total Volume (L),Surface Area (cm²),Start Time (min),End Time (min),Delta Start (min),Delta End (min),A,B,Oxygen Start (µmol/L),Oxygen End (µmol/L),Diff Time (min),Diff Oxy (µmol/L),Oxy Quantity (µmol),Oxy Per Hour (µmol/h),Correct Oxy Hour (µmol/h),Oxy Hour Surface (µmol/h/cm²),,
11/15/24,T. ignis 8,Ambient,0.62,0.013,0.607,35.04,10:57:08 AM,11:17:47 AM,0,20.65,-0.3258,190.48,190.48,183.75223,20.65,-6.72777,-4.08375639,-11.865636,-12.023736,-0.343143151,,
11/15/24,T. ignis 9,Ambient,0.62,0.004,0.616,21.95,10:57:08 AM,11:17:47 AM,0,20.65,-0.2333,192.95,192.95,188.132355,20.65,-4.817645,-2.96766932,-8.622768,-8.780868,-0.400039544,,
11/15/24,Cycle 3 Blank,N/A,0.62,N/A,0.062,N/A,10:57:08 AM,11:17:47 AM,0,20.65,0.0425,193.59,193.59,194.467625,20.65,0.877625,0.05441275,0.1581,N/A,N/A,,
11/15/24,T. ignis 1,Heated,0.62,0.006,0.614,32.52,11:41:17 AM,12:01:31 PM,0,20.33,-0.3152,187.44,187.44,181.031984,20.33,-6.408016,-3.934521824,-11.611968,-11.834424,-0.363912177,,
11/15/24,T. ignis 3,Heated,0.62,0.011,0.609,26.11,11:41:17 AM,12:01:31 PM,0,20.33,-0.315,189.74,189.74,183.33605,20.33,-6.40395,-3.90000555,-11.5101,-11.732556,-0.449351053,,
11/15/24,T. ignis 5,Heated,0.62,0.009,0.611,37.44,11:41:17 AM,12:01:31 PM,0,20.33,-0.3345,188.99,188.99,182.189615,20.33,-6.800385,-4.155035235,-12.26277,-12.485226,-0.333472917,,
11/15/24,T. ignis 6,Heated,0.62,0.006,0.614,47.61,11:41:17 AM,12:01:31 PM,0,20.33,-0.3192,190.36,190.36,183.870664,20.33,-6.489336,-3.984452304,-11.759328,-11.981784,-0.25166528,,
11/15/24,T. ignis 7,Heated,0.62,0.007,0.613,29.33,11:41:17 AM,12:01:31 PM,0,20.33,-0.3499,189.89,189.89,182.776533,20.33,-7.113467,-4.360555271,-12.869322,-13.091778,-0.446361337,,
11/15/24,T. ignis 8,Heated,0.62,0.004,0.616,20.53,11:41:17 AM,12:01:31 PM,0,20.33,-0.1885,193.52,193.52,189.687795,20.33,-3.832205,-2.36063828,-6.96696,-7.189416,-0.350190745,,
11/15/24,T. ignis 9,Heated,0.62,0.003,0.617,57.26,11:41:17 AM,12:01:31 PM,0,20.33,-0.1324,195.13,195.13,192.438308,20.33,-2.691692,-1.660773964,-4.901448,-5.123904,-0.089484876,,
11/15/24,Cycle 4 Blank,N/A,0.62,N/A,0.062,N/A,11:41:17 AM,12:01:31 PM,0,20.33,0.0598,194.18,194.18,195.395734,20.33,1.215734,0.075375508,0.222456,N/A,N/A,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
